year,GRP_bln_USD,GRP_bln_CNY,POP_mln,UrbanArea_km2,COWN_per_1000,MS_PT_pct,CO2_transport_Mt,EV_share_new_sales,EBus_share_fleet_pct,Metro_length_km,Metro_ridership_mln,source
2000,26.81,221.92,7.012,1996,,,,,0,,,GoogleSheets:calibration_table
2001,30.36,252.29,7.246,1996,,,,,0,,,GoogleSheets:calibration_table
2002,36.32,301.72,7.466,1996,64,,,,,,,GoogleSheets:calibration_table
2003,43.45,364.01,7.783,1996,,,,,0,,,GoogleSheets:calibration_table
2004,52.12,435.03,8.008,1996,,,,,0,20.8,0,GoogleSheets:calibration_table
2005,61.2,503.58,8.278,1996,102,,,,,20.8,58,GoogleSheets:calibration_table
2006,71.19,592.07,8.711,1996,,,,,,20.8,90,GoogleSheets:calibration_table
2007,84.67,692.52,9.124,1996,,,,,0,21.9,118,GoogleSheets:calibration_table
2008,96.44,794.14,9.543,1996,,,,,0,21.9,136,GoogleSheets:calibration_table
2009,103.55,851.45,9.95,1996,,,,,,25.3,138,GoogleSheets:calibration_table
2010,148.74,1006.91,10.372,1996,190,28,,,,66.0,163,GoogleSheets:calibration_table
2011,184.6,1192.28,11.229,1996,,,,,1,177.0,460,GoogleSheets:calibration_table
2012,213.8,1349.63,11.959,1996,,,,,2,177.0,781,GoogleSheets:calibration_table
2013,245.98,1523.42,12.572,1996,200,,,,,177.0,914,GoogleSheets:calibration_table
2014,273.42,1679.54,13.179,1996,,,,,4,177.0,1037,GoogleSheets:calibration_table
2015,296.01,1843.68,14.081,1996,205,28,,,10,177.0,1122,GoogleSheets:calibration_table
2016,311.42,2068.57,14.954,1996,210,28,,,45,285.0,1297,GoogleSheets:calibration_table
2017,344.8,2328.03,15.873,1996,215,28,,,100,285.0,1654,GoogleSheets:calibration_table
2018,381.81,2526.61,16.661,1996,220,47,,,100,285.0,1878,GoogleSheets:calibration_table
2019,391.28,2699.23,17.104,1996,225,47,,,100,303.4,2018,GoogleSheets:calibration_table
2020,402.45,2767.02,17.634,1996,230,47,,,100,411.0,1623,GoogleSheets:calibration_table
