year,GRP_bln_USD,POP_mln,UrbanArea_km2,COWN_per_1000,MS_PT_pct,CO2_transport_Mt,EV_share_new_sales,Metro_length_km,Metro_ridership_mln,source
2000,96.08,4.028,683,160,,5.98,,90.8,382.2,GoogleSheets:calibration_table
2001,89.79,4.138,686,162,,7.38,,90.8,390.9,GoogleSheets:calibration_table
2002,92.54,4.176,689,164,,7.27,,97.2,394.6,GoogleSheets:calibration_table
2003,97.65,4.115,692.8,166,,7.24,,127.9,427.3,GoogleSheets:calibration_table
2004,115.03,4.167,695.9,167,,7.14,,127.9,463.6,GoogleSheets:calibration_table
2005,127.81,4.266,696.9,168,63,5.37,,138.2,482.2,GoogleSheets:calibration_table
2006,148.63,4.401,698.9,182,,5.18,,138.2,513.9,GoogleSheets:calibration_table
2007,180.94,4.589,700.3,186,,5.27,,138.2,557.4,GoogleSheets:calibration_table
2008,193.62,4.839,706.9,185,59,5.46,,138.2,619.8,GoogleSheets:calibration_table
2009,194.15,4.988,710.0,186,,6.32,,147.7,650.4,GoogleSheets:calibration_table
2010,239.81,5.077,710.4,186,,6.44,,158.7,755.2,GoogleSheets:calibration_table
2011,279.36,5.184,712.7,185,,6.85,,175.3,837.7,GoogleSheets:calibration_table
2012,295.09,5.312,715.1,183,63,6.85,,177.7,921.6,GoogleSheets:calibration_table
2013,307.58,5.399,716.1,180,63,6.62,,182.0,957.4,GoogleSheets:calibration_table
2014,314.86,5.47,718.3,178,,6.84,,183.0,1008.1,GoogleSheets:calibration_table
2015,308.0,5.535,719.1,173,,8.13,1.0,199.6,1047.9,GoogleSheets:calibration_table
2016,319.05,5.607,719.2,171,,8.28,1.0,199.6,1129.7,GoogleSheets:calibration_table
2017,343.26,5.612,719.9,171,,7.66,1.0,199.3,1139.5,GoogleSheets:calibration_table
2018,376.89,5.639,722.5,170,,7.56,1.0,228.1,1205.2,GoogleSheets:calibration_table
2019,376.9,5.704,725.1,171,,7.45,1.0,228.1,1235.2,GoogleSheets:calibration_table
2020,349.49,5.686,728.0,171,,6.73,1.0,232.3,738.4,GoogleSheets:calibration_table
